y/delta,y^+,U,dU/dy,W,P,nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau
0.008524932410908903,44.20942267155626,14.48998827998378,0.05720460225275629,-0.002385188049234477,-1.056927109982107,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.008802957581745874,45.65123261190661,14.57062798341019,0.05469608843094234,-0.002396572521564096,-1.073332192393895,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.00908491995820726,47.11346049567336,14.64889361905274,0.05239130469167638,-0.002407242674645614,-1.088756940035391,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.00937081842028975,48.59610051463453,14.72497328071319,0.05026980819311608,-0.002417283964859347,-1.103237706671029,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.009660651832355647,50.09914677948984,14.79903782723159,0.04831327158494217,-0.002426746846091574,-1.116812045116088,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.009954419043136433,51.62259331987914,14.87124236119,0.04650527399895134,-0.002435660661757262,-1.129518415972992,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01025211888573807,53.16643408441002,14.9417275917606,0.04483110224286854,-0.002444023439715857,-1.141395857274591,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01055375017764559,54.73066294068145,15.01062109953589,0.04327758280443821,-0.002451781683552277,-1.152483660853679,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01085931172072718,56.31527367530505,15.07803850424386,0.04183291771275827,-0.002458849471106506,-1.162821081766803,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01116880230124007,57.92025999393565,15.14408453874368,0.04048655145555821,-0.00246514632373033,-1.172447012114165,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01148222068983396,59.54561552128909,15.20885406657139,0.03922906193820645,-0.002470617154331997,-1.181399682452695,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01179956564155715,61.19133380117393,15.2724330260993,0.03805203000654608,-0.002475258195532479,-1.189716455087683,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01212083589586055,62.85740829651211,15.33489927265678,0.03694792888887321,-0.00247914434645948,-1.197433657315672,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01244603017660351,64.54383238936957,15.39632337255849,0.03591005464693298,-0.002482404349939451,-1.204586475374322,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01277514719205819,66.25059938097858,15.45676934672213,0.03493242463917538,-0.002485149437493494,-1.211208807453811,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.013108185634915,67.97770249176607,15.51629529336792,0.03400965920147202,-0.002487430600275205,-1.217333092495376,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01344514418228782,69.72513486138061,15.57495389924612,0.0331368990274528,-0.002489267630796954,-1.2229902498136,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01378602149571917,71.49288954871948,15.63279290883299,0.03230977692891996,-0.002490707059186545,-1.228209778430009,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
