y/delta,y^+,u'p',v'p',w'p',nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau
0.009954419043136433,51.62259331987914,0.9597205385695784,-0.2191306428877182,0.005913202196635212,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01025211888573807,53.16643408441002,0.9531792658990854,-0.2215070066503629,0.005976991154353232,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01055375017764559,54.73066294068145,0.9460464579940032,-0.2237965420444877,0.006026779717373826,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01085931172072718,56.31527367530505,0.9384016006722128,-0.2259910512464194,0.006059563373300402,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01116880230124007,57.92025999393565,0.9303187963073192,-0.2280833966361241,0.006076479013042833,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01148222068983396,59.54561552128909,0.9218663407942204,-0.2300676227599923,0.006080249865872491,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01179956564155715,61.19133380117393,0.9131060647525854,-0.2319392612708679,0.006071470548328333,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01212083589586055,62.85740829651211,0.9040947756944177,-0.233695365345241,0.006048789548214794,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01244603017660351,64.54383238936957,0.8948853762975422,-0.2353341681953388,0.006012864069084677,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01277514719205819,66.25059938097858,0.8855247463224729,-0.2368546960053373,0.005968191087274094,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.013108185634915,67.97770249176607,0.8760541950594856,-0.2382565228319311,0.005921009797652289,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
0.01344514418228782,69.72513486138061,0.8665125216543753,-0.2395397753616437,0.005876333987875241,10240,1536,7680,8pi,3pi,7,8.00000e-06,1.000,1.000,4.14872e-02,5185.897
