y/delta,y^+,U,dU/dy,W,P,nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau
0.0122263654967012,2.683429554328328,2.667722811683442,0.9768068336303112,7.005495116245922e-05,-0.0041329096444061,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.01495244628560999,3.281746834996754,3.247120992638192,0.958987901230506,8.477343457053674e-05,-0.007847839464310093,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.01796258247384253,3.942408289313313,3.872379898028877,0.9327237229050304,0.0001001737822945902,-0.01372799650753634,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.02125590603687155,4.665223404187998,4.534021596415609,0.8968823733630571,0.0001156690196258123,-0.02241146323815445,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.02483146728822128,5.449983743454135,5.22036333407538,0.8513191458500585,0.0001305315060746914,-0.03450985528357671,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.02868823515332564,6.296463007974501,5.918283508591125,0.7970174502859098,0.0001439761486446,-0.05056039921215626,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.03282509746685636,7.204417100898564,6.614322778506687,0.7359517972248102,0.0001552648565198524,-0.07098882102974546,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.03724086129343462,8.17358419805194,7.295868024755984,0.6707307189363056,0.0001638013198562698,-0.09608254709444904,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.04193425327163525,9.203684823438048,7.952156918623216,0.6041461579964906,0.0001692027181960531,-0.1259718064595618,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.04690391998118171,10.2944219298297,8.57492093485851,0.5387622527397041,0.0001713404915322418,-0.1606174875470142,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.05214842833322808,11.44548098442774,9.158607829385504,0.4766337528473983,0.0001703399975435884,-0.1998070575477114,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.05766626598361557,12.65653005956216,9.700237020883083,0.4191829484997075,0.0001665526618016963,-0.2431611515072954,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.06345584176898234,13.927219928409,10.19900771696895,0.3672124772651443,0.0001605219019221408,-0.2901525266466062,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.06951548616560277,15.25718416569592,10.6557930586489,0.321005014299179,0.0001529440875011726,-0.3401365693547136,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.07584345177082374,16.64603925336729,11.07262920997847,0.2804593469340042,0.0001445906198978658,-0.392389889781528,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.08243791380695809,18.09338469117819,11.45226839366208,0.2452250968730278,0.0001361129947360737,-0.4461519142532544,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.08929697064749043,19.59880311218551,11.79782644861445,0.2148148945189952,0.0001277385132892153,-0.5006644287029028,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.09641864436544412,21.16186040310295,12.11252765017815,0.1886868609769581,0.0001191975775222073,-0.5552054472588738,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.1038008813037503,22.78210582948498,12.39953413801399,0.1662992228662786,0.0001101377490510761,-0.6091152964411134,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.1114415526674554,24.45907216570389,12.66184183499396,0.1471427856797964,0.0001006915986470957,-0.6618141389186443,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.1193384551375956,26.19227582968237,12.9022246156713,0.1307572059753793,9.167105229365348e-05,-0.7128114815980765,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.1274893115065617,27.98121702234264,13.12321093520415,0.1167367376833935,8.418337477181498e-05,-0.7617089321020204,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.1358917713347718,29.82537987173227,13.32708110329394,0.1047296261954219,7.876445335991778e-05,-0.8081979900217799,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.1445434116284596,31.72423258178446,13.51587633167494,0.09443391771804846,7.49379678779298e-05,-0.8520548263691536,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.1534417375383876,33.67722758567084,13.69141362829317,0.08559171388232223,7.173940771875664e-05,-0.8931328306074309,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.1625841830792791,35.68380170370165,13.85530258270277,0.0779830139489089,6.840227839863855e-05,-0.9313533197073434,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.1719681118697645,37.7433763057283,14.00896274783234,0.07142082215812463,6.467774454650086e-05,-0.9666957221934366,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.1815908178926267,39.85535747800134,14.15364195907208,0.0657466707503616,6.032138572624308e-05,-0.999188018652704,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.1914495262751283,42.0191361944357,14.29043342083968,0.06082582786234927,5.422898760628123e-05,-1.028897620497804,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.2015413940891936,44.23408849223378,14.42029061265523,0.0565433803600105,4.490410117390513e-05,-1.055923152424008,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.2118635111712157,46.49957565181599,14.54404094190104,0.0528015298489832,3.124816413733243e-05,-1.080387280139758,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.2224129009612524,48.81494438100636,14.66239933612149,0.04951746712132838,1.250551119564415e-05,-1.102430475730036,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.2331865213613683,51.17952700342067,14.77598111537876,0.04662107746010218,-1.194358127997296e-05,-1.122204772321167,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.244181265612876,53.59264165100237,14.88531390208615,0.04405337776142091,-4.289138924977926e-05,-1.13986865791549,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
0.2553939631922236,56.05359246065102,14.99084986129812,0.04176543736191834,-8.146050239163334e-05,-1.155583768743538,6144,192,768,100pi,5pi,7,2.50000e-04,1.000,(+/-) 1.000,5.48697e-02,219.479
