y/delta,y^+,U,dU/dy,W,P,nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau,u'u',v'v',w'w',u'v',u'w',v'w',k,u'p',v'p',w'p'
0.3860767402775169,35.87136930120902,13.73884280717478,0.0759723061962531,-0.0008252423266188,-0.9557020740204976,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,5.2663742410076,0.9557020740204976,1.899665167901536,-0.9240437817586156,0.0002872236191182,-7.53160372571419e-05,4.060870741464817,0.6864779092980259,-0.1024038742165608,-0.0012497394463821
0.4067317668766912,37.79048021820623,13.87886947698379,0.0701160775897565,-0.0008835199314064,-0.9902525529020269,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,5.104328488454497,0.9902525529020269,1.900478951366431,-0.9298955326687766,0.000358011435898,-7.169629812453855e-05,3.997529996361478,0.6757729399355098,-0.0996979609475399,-0.0012646062801063
0.4277866974336383,39.74674722635767,14.01093809227713,0.0650410827704353,-0.0009330633122256,-1.022273677365919,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,4.95377870119948,1.022273677365919,1.899378268992588,-0.9349660565083276,0.0004231925643095,-6.846527384160392e-05,3.937715323778994,0.6617756317499336,-0.0970441124296002,-0.0012819052522419
0.4492273394640984,41.73885166594866,14.13600243665517,0.0606348417427317,-0.0009754532979718,-1.051831374028627,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,4.814505289721201,1.051831374028627,1.896694727694149,-0.939367900095532,0.0004706264916241,-6.626178581320356e-05,3.881515695721989,0.6448306150694982,-0.094379400526558,-0.0012980551483503
0.4710392404875134,43.76545072034889,14.25489979837634,0.0568008174646183,-0.0010147868688462,-1.079010487615338,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,4.686144859215475,1.079010487615338,1.892727397773115,-0.9431970819618868,0.0004913475994349,-6.656988964075743e-05,3.828941372301964,0.6252772954832095,-0.0916526362782937,-0.0013124191934462
0.4932076977690006,45.82517832116393,14.36836428484151,0.0534581136210422,-0.0010571074122037,-1.103911401317754,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,4.568217209626757,1.103911401317754,1.887735761305653,-0.9465345234625858,0.0004837675330181,-7.039272212734765e-05,3.779932186125082,0.603453892349848,-0.088825767585675,-0.0013245624506523
0.5157177682300171,47.91664606906022,14.47704119192027,0.0505384816396665,-0.0011087150296418,-1.126647074489941,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,4.460166117530933,1.126647074489941,1.881939071365429,-0.9494483949725908,0.0004518513539291,-7.737401720316432e-05,3.734376131693151,0.5796875803509393,-0.0858726230227336,-0.0013313035560328
0.5385542785210315,50.03844416964252,14.58149646723512,0.0479829341374493,-0.0011748859982746,-1.147338901614988,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,4.361397092833918,1.147338901614988,1.875528752431868,-0.9519977899071465,0.0003991114242496,-8.636088598916232e-05,3.692132373440386,0.5542872915169749,-0.0827759277393199,-0.0013287909824031
0.5617018352494142,52.18914238375312,14.68222586870695,0.0457421392871601,-0.0012595618399507,-1.166112869512818,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,4.271292291715391,1.166112869512818,1.868678101858274,-0.954232579005538,0.00032955362034,-9.645558170571592e-05,3.653041631543242,0.527536236957822,-0.0795248650640328,-0.0013200251415753
0.5851448353556523,54.36729099155238,14.77966587316904,0.0437747867236763,-0.0013655643360052,-1.18309557606637,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,4.189244836627499,1.18309557606637,1.861547058874134,-0.956194637212656,0.0002470196373137,-0.0001069595719925,3.616943735784001,0.4996824364532498,-0.076113350719285,-0.0013062311724537
0.6088674766308949,56.57142176973044,14.8742004889059,0.0420448496252536,-0.0014941635641214,-1.198410750705823,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,4.114685105238567,1.198410750705823,1.854280391551363,-0.9579198953901886,0.0001493783296905,-0.000116388158129,3.583688123747876,0.4709444441197008,-0.0725372852967551,-0.0012790824133947
0.6328537683687377,58.8000489811916,14.96616651242187,0.0405215585336377,-0.0016443005158832,-1.212176989550822,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,4.047085088314227,1.212176989550822,1.847005785641365,-0.9594386998326504,3.537212150194512e-05,-0.0001233000098913,3.553133931753207,0.4415145596824467,-0.0687926623590979,-0.0012274604918739
0.6570875421440694,61.05167037654428,15.05586013585994,0.0391791128512169,-0.0018122796819925,-1.224506069718844,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,3.98596457812246,1.224506069718844,1.839831527798873,-0.9607761420758212,-8.584585729227648e-05,-0.000127371609735,3.525151087820089,0.4115620363570064,-0.0648782596680188,-0.0011444185978589
0.6815524627117115,63.32476820672129,15.14354277415341,0.037995728740568,-0.0019915837958454,-1.235503103347389,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,3.930889198022488,1.235503103347389,1.832846452834371,-0.9619544513221374,-0.000203593117929,-0.0001283853947016,3.499619377102124,0.3812396506915269,-0.0607994761740111,-0.0010304870727971
0.706232039017508,65.61781024604807,15.22944651870728,0.0369535297014151,-0.0021742688574007,-1.245266956393748,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,3.881460259985982,1.245266956393748,1.826125521453688,-0.962992594334214,-0.0003104465804107,-0.0001262951921876,3.476426368916709,0.3506766199954517,-0.056566980384445,-0.0008940814287996
0.7311096353144395,67.9292508250691,15.31377968510335,0.0360378320250482,-0.0023546227478011,-1.253889683623216,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,3.837311977628726,1.253889683623216,1.819735376183593,-0.9639052745798936,-0.0003935445993508,-0.0001219211497471,3.455468518717767,0.3199729390185212,-0.0521921299066877,-0.0007375077736713
0.7561684823762714,70.2575318724364,15.39673038412831,0.0352359881843866,-0.0025301265841906,-1.261456542845014,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,3.798113058344771,1.261456542845014,1.813728864478291,-0.9647043824614372,-0.0004438538769282,-0.0001163441115431,3.436649232834038,0.2892045414762822,-0.0476838978349186,-0.0005499330174322
0.7813916888011762,72.60108396515768,15.47846887064791,0.0345371842749187,-0.0026995621577889,-1.268046483965926,3072,128,288,314.1592653589793,15.707963267948966,7,0.000666667,1.0, 1.000,0.0619417,92.913,3.763580459093296,1.268046483965926,1.808137771945098,-0.9654005855667788,-0.0004680673933207,-0.0001102695130604,3.41988235750216,0.2584300565241612,-0.0430478308455264,-0.0003225391135655
