y/delta,y^+,u'p',v'p',w'p',nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau
0.1204157686402891,11.18813452341071,0.3309485690145035,-0.1566865254535673,-0.0003652159040718802,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.1329891138359783,12.35635592038466,0.3621566047014759,-0.1591351941577821,-0.0004883497781873808,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.146146884533407,13.57887777323914,0.3985587930952086,-0.1593493544838333,-0.0006349635322531121,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.159880211482068,14.85487601741089,0.438044436735921,-0.1576112436051422,-0.0007941787295447476,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.1741798374666018,16.18349054153805,0.4785289188344067,-0.154305719557871,-0.0009514006238508264,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.189036123546801,17.56382576723481,0.5181721785776703,-0.1498667910693322,-0.001090448619747047,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.2044390555549258,18.99495125277351,0.5554886173921091,-0.1447253886785827,-0.001197505609016304,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.2203782508459474,20.47590232026682,0.589369925231754,-0.1392670196372442,-0.001266689155627439,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.2368429652961714,22.00568070592766,0.6190554839211095,-0.1338038218678873,-0.00130087026016225,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.253822100545523,23.58325523296822,0.6440841940958423,-0.128561532230539,-0.001306205952552547,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
0.2713042114786114,25.2075625066847,0.6642379782708193,-0.1236797021435687,-0.00129114231734835,3072,128,288,100pi,5pi,7,6.66667e-04,1.000,(+/-) 1.000,6.19417e-02,92.913
