nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure,      x-velocity,uu-reynolds-stress,vv-reynolds-stress,ww-reynolds-stress,uv-reynolds-stress,          y-plus,  dx-velocity-dy
        72, 0.000000000E+00,-8.289544582E-01, 0.000000000E+00, 2.614608407E-01, 7.246121764E-01, 7.023598999E-03, 1.829657587E-03, 4.094960168E-03,-1.763116219E-03, 0.000000000E+00, 8.891121745E-01
        73, 0.000000000E+00,-8.263018131E-01, 0.000000000E+00, 2.631637454E-01, 7.269535065E-01, 6.996615790E-03, 1.826038817E-03, 4.078965634E-03,-1.757726539E-03, 0.000000000E+00, 8.761656284E-01
        74, 0.000000000E+00,-8.236491680E-01, 0.000000000E+00, 2.648474574E-01, 7.292609811E-01, 6.969704293E-03, 1.822386985E-03, 4.063026980E-03,-1.752327895E-03, 0.000000000E+00, 8.635877371E-01
        75, 0.000000000E+00,-8.209965229E-01, 0.000000000E+00, 2.665125132E-01, 7.315356135E-01, 6.942863576E-03, 1.818703255E-03, 4.047142807E-03,-1.746920869E-03, 0.000000000E+00, 8.513842821E-01
        76, 8.673617380E-19,-8.183438182E-01, 0.000000000E+00, 2.681592703E-01, 7.337782383E-01, 6.916092709E-03, 1.814988209E-03, 4.031312652E-03,-1.741505228E-03, 0.000000000E+00, 8.394647837E-01
        77, 0.000000000E+00,-8.156911731E-01, 0.000000000E+00, 2.697881162E-01, 7.359896302E-01, 6.889391690E-03, 1.811243244E-03, 4.015536048E-03,-1.736081787E-03, 0.000000000E+00, 8.278467655E-01
        78, 0.000000000E+00,-8.130385280E-01, 0.000000000E+00, 2.713994384E-01, 7.381706238E-01, 6.862760521E-03, 1.807468943E-03, 3.999813460E-03,-1.730650431E-03, 0.000000000E+00, 8.165503740E-01
        79, 0.000000000E+00,-8.103858829E-01, 0.000000000E+00, 2.729937434E-01, 7.403221130E-01, 6.836199667E-03, 1.803666819E-03, 3.984143957E-03,-1.725212438E-03, 0.000000000E+00, 8.055875301E-01
        80, 0.000000000E+00,-8.077332377E-01, 0.000000000E+00, 2.745713592E-01, 7.424449325E-01, 6.809710991E-03, 1.799837686E-03, 3.968528938E-03,-1.719768043E-03, 0.000000000E+00, 7.949143648E-01
        81, 0.000000000E+00,-8.050805926E-01, 0.000000000E+00, 2.761326730E-01, 7.445397377E-01, 6.783293560E-03, 1.795981778E-03, 3.952967934E-03,-1.714317244E-03, 0.000000000E+00, 7.845278978E-01
        82, 0.000000000E+00,-8.024278879E-01, 0.000000000E+00, 2.776781321E-01, 7.466074228E-01, 6.756946445E-03, 1.792100025E-03, 3.937459551E-03,-1.708860509E-03, 0.000000000E+00, 7.744340897E-01
