nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure,      x-velocity,uu-reynolds-stress,vv-reynolds-stress,ww-reynolds-stress,uv-reynolds-stress,          y-plus,  dx-velocity-dy
        62, 1.084202172E-18,-9.303010702E-01, 0.000000000E+00, 2.158246040E-01, 6.585421562E-01, 6.896934472E-03, 1.656096545E-03, 4.049413837E-03,-1.666694181E-03, 0.000000000E+00, 1.922755957E+00
        63, 0.000000000E+00,-9.289842844E-01, 0.000000000E+00, 2.174810767E-01, 6.610516310E-01, 6.883587223E-03, 1.655337401E-03, 4.041146487E-03,-1.664606854E-03, 0.000000000E+00, 1.888756514E+00
        64, 4.336808690E-19,-9.276674986E-01, 0.000000000E+00, 2.191147208E-01, 6.635171771E-01, 6.870259065E-03, 1.654551364E-03, 4.032893572E-03,-1.662509982E-03, 0.000000000E+00, 1.856063128E+00
        65, 0.000000000E+00,-9.263507128E-01, 0.000000000E+00, 2.207263112E-01, 6.659404039E-01, 6.856951863E-03, 1.653739717E-03, 4.024657421E-03,-1.660404028E-03, 0.000000000E+00, 1.824554324E+00
        66, 0.000000000E+00,-9.250339270E-01, 0.000000000E+00, 2.223165035E-01, 6.683228016E-01, 6.843664218E-03, 1.652902807E-03, 4.016438499E-03,-1.658289344E-03, 0.000000000E+00, 1.794031382E+00
        67, 0.000000000E+00,-9.237172008E-01, 0.000000000E+00, 2.238858938E-01, 6.706657410E-01, 6.830397993E-03, 1.652041683E-03, 4.008235410E-03,-1.656166278E-03, 0.000000000E+00, 1.764502287E+00
        68, 6.505213035E-19,-9.224004149E-01, 0.000000000E+00, 2.254350930E-01, 6.729704142E-01, 6.817155518E-03, 1.651157741E-03, 4.000051413E-03,-1.654035528E-03, 0.000000000E+00, 1.735985279E+00
        69, 4.336808690E-19,-9.210836291E-01, 0.000000000E+00, 2.269646525E-01, 6.752381325E-01, 6.803938188E-03, 1.650251681E-03, 3.991886042E-03,-1.651897561E-03, 0.000000000E+00, 1.708366513E+00
        70,-8.673617380E-19,-9.197668433E-01, 0.000000000E+00, 2.284751832E-01, 6.774700880E-01, 6.790743209E-03, 1.649323851E-03, 3.983738832E-03,-1.649752143E-03, 0.000000000E+00, 1.681702495E+00
        71, 0.000000000E+00,-9.184500575E-01, 0.000000000E+00, 2.299672216E-01, 6.796675920E-01, 6.777573377E-03, 1.648375182E-03, 3.975610249E-03,-1.647599740E-03, 0.000000000E+00, 1.655917287E+00
        72, 0.000000000E+00,-9.171333313E-01, 0.000000000E+00, 2.314413190E-01, 6.818315983E-01, 6.764428224E-03, 1.647406258E-03, 3.967502154E-03,-1.645441167E-03, 0.000000000E+00, 1.630897045E+00
        73, 0.000000000E+00,-9.158165455E-01, 0.000000000E+00, 2.328979075E-01, 6.839631200E-01, 6.751307752E-03, 1.646417193E-03, 3.959412687E-03,-1.643275958E-03, 0.000000000E+00, 1.606625080E+00
        74, 0.000000000E+00,-9.144997597E-01, 0.000000000E+00, 2.343374491E-01, 6.860631704E-01, 6.738211028E-03, 1.645408571E-03, 3.951342776E-03,-1.641104231E-03, 0.000000000E+00, 1.583055258E+00
        75, 0.000000000E+00,-9.131829739E-01, 0.000000000E+00, 2.357603610E-01, 6.881325841E-01, 6.725141779E-03, 1.644381555E-03, 3.943293355E-03,-1.638927031E-03, 0.000000000E+00, 1.560157537E+00
        76, 1.301042607E-18,-9.118661880E-01, 0.000000000E+00, 2.371670902E-01, 6.901723146E-01, 6.712101400E-03, 1.643337077E-03, 3.935265355E-03,-1.636744826E-03, 0.000000000E+00, 1.537966967E+00
        77, 0.000000000E+00,-9.105494022E-01, 0.000000000E+00, 2.385580987E-01, 6.921833158E-01, 6.699088961E-03, 1.642275136E-03, 3.927258775E-03,-1.634557499E-03, 0.000000000E+00, 1.516423941E+00
        78, 0.000000000E+00,-9.092326760E-01, 0.000000000E+00, 2.399337739E-01, 6.941664219E-01, 6.686102599E-03, 1.641196432E-03, 3.919272684E-03,-1.632365165E-03, 0.000000000E+00, 1.495505929E+00
        79, 0.000000000E+00,-9.079158902E-01, 0.000000000E+00, 2.412944883E-01, 6.961222887E-01, 6.673143245E-03, 1.640100847E-03, 3.911307082E-03,-1.630167593E-03, 0.000000000E+00, 1.475249052E+00
        80, 0.000000000E+00,-9.065991044E-01, 0.000000000E+00, 2.426406443E-01, 6.980518103E-01, 6.660209969E-03, 1.638989197E-03, 3.903361969E-03,-1.627965248E-03, 0.000000000E+00, 1.455463290E+00
        81, 0.000000000E+00,-9.052823186E-01, 0.000000000E+00, 2.439725101E-01, 6.999555826E-01, 6.647303700E-03, 1.637861831E-03, 3.895437345E-03,-1.625758479E-03, 0.000000000E+00, 1.436119556E+00
        82, 0.000000000E+00,-9.039655328E-01, 0.000000000E+00, 2.452903986E-01, 7.018343210E-01, 6.634425838E-03, 1.636719564E-03, 3.887534142E-03,-1.623547636E-03, 0.000000000E+00, 1.417334080E+00
        83, 0.000000000E+00,-9.026488066E-01, 0.000000000E+00, 2.465946674E-01, 7.036886215E-01, 6.621574983E-03, 1.635562279E-03, 3.879651427E-03,-1.621332602E-03, 0.000000000E+00, 1.399068356E+00
        84, 0.000000000E+00,-9.013320208E-01, 0.000000000E+00, 2.478856444E-01, 7.055191398E-01, 6.608750671E-03, 1.634390559E-03, 3.871789202E-03,-1.619113493E-03, 0.000000000E+00, 1.381287813E+00
        85, 0.000000000E+00,-9.000152349E-01, 0.000000000E+00, 2.491636276E-01, 7.073265314E-01, 6.595953368E-03, 1.633204985E-03, 3.863947932E-03,-1.616890775E-03, 0.000000000E+00, 1.364030361E+00
        86, 0.000000000E+00,-8.986984491E-01, 0.000000000E+00, 2.504290342E-01, 7.091116309E-01, 6.583184004E-03, 1.632005908E-03, 3.856127616E-03,-1.614664448E-03, 0.000000000E+00, 1.347250462E+00
        87, 0.000000000E+00,-8.973816633E-01, 0.000000000E+00, 2.516821027E-01, 7.108747959E-01, 6.570441648E-03, 1.630793791E-03, 3.848328721E-03,-1.612434513E-03, 0.000000000E+00, 1.330833912E+00
        88, 0.000000000E+00,-8.960649371E-01, 0.000000000E+00, 2.529231012E-01, 7.126166821E-01, 6.557727698E-03, 1.629568869E-03, 3.840550315E-03,-1.610201434E-03, 0.000000000E+00, 1.314813852E+00
        89, 0.000000000E+00,-8.947481513E-01, 0.000000000E+00, 2.541522086E-01, 7.143376470E-01, 6.545040756E-03, 1.628331724E-03, 3.832792630E-03,-1.607965212E-03, 0.000000000E+00, 1.299102545E+00
        90, 0.000000000E+00,-8.934313655E-01, 0.000000000E+00, 2.553696632E-01, 7.160382271E-01, 6.532381289E-03, 1.627082471E-03, 3.825055202E-03,-1.605725731E-03, 0.000000000E+00, 1.283737183E+00
        91, 4.336808690E-19,-8.921145797E-01, 0.000000000E+00, 2.565756440E-01, 7.177187800E-01, 6.519746967E-03, 1.625820994E-03, 3.817338031E-03,-1.603483222E-03, 0.000000000E+00, 1.268849134E+00
        92, 0.000000000E+00,-8.907977939E-01, 0.000000000E+00, 2.577705383E-01, 7.193799019E-01, 6.507138256E-03, 1.624547411E-03, 3.809640650E-03,-1.601237338E-03, 0.000000000E+00, 1.254253387E+00
        93, 0.000000000E+00,-8.894810677E-01, 0.000000000E+00, 2.589545846E-01, 7.210221887E-01, 6.494555157E-03, 1.623261953E-03, 3.801963292E-03,-1.598988660E-03, 0.000000000E+00, 1.240054727E+00
        94, 0.000000000E+00,-8.881642818E-01, 0.000000000E+00, 2.601279616E-01, 7.226459980E-01, 6.481997669E-03, 1.621965086E-03, 3.794305027E-03,-1.596736955E-03, 0.000000000E+00, 1.226270914E+00
        95, 0.000000000E+00,-8.868474960E-01, 0.000000000E+00, 2.612910271E-01, 7.242518663E-01, 6.469465792E-03, 1.620657276E-03, 3.786666784E-03,-1.594482572E-03, 0.000000000E+00, 1.212744474E+00
        96, 0.000000000E+00,-8.855307102E-01, 0.000000000E+00, 2.624438405E-01, 7.258400917E-01, 6.456960458E-03, 1.619338291E-03, 3.779048566E-03,-1.592225395E-03, 0.000000000E+00, 1.199518681E+00
        97, 0.000000000E+00,-8.842139244E-01, 0.000000000E+00, 2.635866404E-01, 7.274109125E-01, 6.444481201E-03, 1.618008944E-03, 3.771450371E-03,-1.589965774E-03, 0.000000000E+00, 1.186531425E+00
        98, 0.000000000E+00,-8.828971982E-01, 0.000000000E+00, 2.647196054E-01, 7.289650440E-01, 6.432028487E-03, 1.616669470E-03, 3.763872199E-03,-1.587703708E-03, 0.000000000E+00, 1.173782706E+00
